web-scraper-order,web-scraper-start-url,link,link-href,veterinary name ,phone,address,website,website-href,pages,pages-href
"1675597790-61","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","North Midway Animal Hospital","https://www.yellowpages.com/dallas-tx/mip/north-midway-animal-hospital-12589543","North Midway Animal Hospital","(972) 250-2797","18110 Midway Rd Ste 176Dallas, TX 75287","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597793-62","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Abrams Animal Clinic","https://www.yellowpages.com/dallas-tx/mip/abrams-animal-clinic-463656632","Abrams Animal Clinic","(214) 348-8994","6525 Abrams RdDallas, TX 75231","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597795-63","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Forest Villa Animal Clinic","https://www.yellowpages.com/dallas-tx/mip/forest-villa-animal-clinic-9828078","Forest Villa Animal Clinic","(214) 341-8392","9730 Abrams RdDallas, TX 75243","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597831-64","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Coit Road Animal Hospital","https://www.yellowpages.com/dallas-tx/mip/coit-road-animal-hospital-470293780","Coit Road Animal Hospital","(972) 239-2111","12600 Coit RdDallas, TX 75251","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597842-65","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Knox Park Animal Hospital","https://www.yellowpages.com/dallas-tx/mip/knox-park-animal-hospital-9666683","Knox Park Animal Hospital","(214) 521-7660","4437 Buena Vista StDallas, TX 75205","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597845-66","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Brookhaven Pet Hospital","https://www.yellowpages.com/dallas-tx/mip/brookhaven-pet-hospital-12100981","Brookhaven Pet Hospital","(972) 241-7730","2561 Valley View LnDallas, TX 75234","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597911-67","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Biolase Inc","https://www.yellowpages.com/dallas-tx/mip/biolase-inc-7511229","Biolase Inc","(972) 406-0088","Dallas, TX 75201","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597915-68","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Heal Veterinary Hospital","https://www.yellowpages.com/dallas-tx/mip/heal-veterinary-hospital-544966014","Heal Veterinary Hospital","(214) 484-3024","null","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597926-69","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Maxwells Groomer","https://www.yellowpages.com/dallas-tx/mip/maxwells-groomer-453634961","Maxwells Groomer","(972) 733-4041","4727 Frankford Rd Ste 365Dallas, TX 75287","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597930-70","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Animal Radiology Clinic PllC","https://www.yellowpages.com/dallas-tx/mip/animal-radiology-clinic-pllc-478801947","Animal Radiology Clinic PllC","(972) 267-3500","4444 Trinity Mills RdDallas, TX 75287","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597933-71","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Robertson Leigh Anne","https://www.yellowpages.com/dallas-tx/mip/robertson-leigh-anne-469892506","Robertson Leigh Anne","(972) 931-9206","7120 Campbell Rd Ste 110Dallas, TX 75248","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597937-72","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Campbell Village Vet Clinic","https://www.yellowpages.com/dallas-tx/mip/campbell-village-vet-clinic-342257","Campbell Village Vet Clinic","(972) 931-9206","7120 Campbell RdDallas, TX 75248","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597940-73","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Pepper Square Cleaners","https://www.yellowpages.com/dallas-tx/mip/pepper-square-cleaners-503723795","Pepper Square Cleaners","(972) 386-9688","14092 Preston Rd Ste 608Dallas, TX 75254","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597944-74","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Pet Vet Animal Hospital","https://www.yellowpages.com/dallas-tx/mip/pet-vet-animal-hospital-532449650","Pet Vet Animal Hospital","(469) 522-5100","12801 Midway Rd Ste 210Dallas, TX 75244","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597955-75","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Rubin Gerard J","https://www.yellowpages.com/dallas-tx/mip/rubin-gerard-j-537988940","Rubin Gerard J","(972) 484-5598","2353 Royal LnDallas, TX 75229","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
"1675597958-76","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals","Garfield Reid A","https://www.yellowpages.com/dallas-tx/mip/garfield-reid-a-30065658","Garfield Reid A","(972) 241-6266","2353 Royal LnDallas, TX 75229","null","null","2","https://www.yellowpages.com/dallas-tx/veterinary-clinics-hospitals?page=2"
